FIPS,State,County,severe_cases,food_services,economic,community,mental_health,mobile_health,overwhelm,info
26075,Michigan,Jackson,67.53098499673843,56.20787127636443,52.24963092663164,67.27238840741776,58.24816989200551,42.76505122596984,49.478147423352894,52.682648401826484
26077,Michigan,Kalamazoo,51.757628469957226,53.337682104805396,45.30847667112988,53.64597893952101,57.47626295571499,22.439660795825176,35.89548452562151,64.27756033920417
26079,Michigan,Kalkaska,49.887656736971806,58.7872363557295,54.466646067222854,65.37135402106048,64.30021019062114,58.499290127009715,56.498695368558394,44.324853228962816
26081,Michigan,Kent,45.24534319054867,43.81115459882583,39.10031929137913,46.57534246575343,42.55635283032543,17.200030697210387,29.48285859244763,71.6242661448141
26083,Michigan,Keweenaw,22.175110531274914,67.11241574255273,51.43595289593848,70.59686888454013,56.37819815902007,50.67725720425156,44.65825904182068,46.99119373776908
26085,Michigan,Lake,40.35116329636878,74.52163513807349,69.15233288701205,62.510483645513006,80.3471769225194,64.34614941867159,55.83913169529606,27.144487932159162
26087,Michigan,Lapeer,52.52409944190766,37.578821482931076,44.16778246987331,59.40266517565931,55.36710879176633,40.49825409615901,42.91331448865695,60.18427919112851
26089,Michigan,Leelanau,28.120243531202437,29.272667971298105,34.24400041198888,19.434349082098596,32.35848372834674,34.203407390353405,36.782452707110245,66.0061969993477
26091,Michigan,Lenawee,63.38515619337538,44.284083496412265,44.436433549627495,59.0089460441711,47.68790316735523,46.974406200836505,50.94404580705951,57.15101108936725
26093,Michigan,Livingston,37.69116474595926,25.80452272233094,20.833762488412813,75.81073525300532,52.10190621149526,18.52001074402364,26.497608175690367,70.6539465101109
26095,Michigan,Luce,28.73450750163079,60.11904761904761,50.424863528684725,20.624825272574782,45.61861274190042,41.3999846513948,38.52649126621729,23.560828440965427
26097,Michigan,Mackinac,51.516634050880626,59.855403348554034,60.0731280255433,31.604696673189824,62.25266362252664,60.261501861018395,52.928172791186476,29.92498369210698
26099,Michigan,Macomb,62.133072407045006,45.175581648184384,46.96673189823874,80.51672723884074,66.01435094585779,32.15724646022793,46.045335942596225,86.96183953033267
26101,Michigan,Manistee,39.331013988548236,58.749184605348994,54.17138737254093,34.75910912310129,57.66470971950424,36.60930125474847,44.14999637602378,55.62622309197651
26103,Michigan,Marquette,44.39733275349714,43.014785823005,44.38836818072579,34.22094865343398,56.838443139813,30.72119258662369,34.87352322968762,43.49315068493151
26105,Michigan,Mason,48.544973544973544,50.97575559904327,52.8143990112267,36.697418693504794,60.30658838878017,41.099727562257776,47.477712546205694,46.224722765818655
